question,image,choice1,choice2,choice3,choice4,block
Como se adoita facer a transmisión de bits entre computadoras?,,En serie,En paralelo,En sincronía,En rede,internet e redes
"Nunha comunicación en serie, que sinal é preciso, ademais dos datos?",,Un sinal de reloxo,Un sinal de paralelo,Un sinal de IP,Un sinal eléctrico,internet e redes
Que é un ISP?,,Un provedor de servizos de internet,Un procesador de sinais de internet,Un protocolo de sincronización de información,Un prefixo de envío de imaxes,internet e redes
Como se chaman as empresas coas que contratamos o noso acceso a internet?,,ISP's,Clientes,IP's,Servidores,internet e redes
Cal destes non é un ISP?,,Android,Vodafone,Movistar,R,internet e redes
"Como se chaman os servidores que se encargan de ""traducir"" os nomes das web a unha IP?",,DNS,ISP,TCP,SND,internet e redes
Cal pode ser unha IP?,,10.52.176.51,10.256.176.1,10.52.176,10.56.66.128.22,internet e redes
Cal NON pode ser unha IP?,,"10.52.268,51",10.52.1.1,10.255.255.255,192.168.0.10,internet e redes
De que se encarga o protocolo TCP?,,De dividir os paquetes de información e asignarlles unha identificación para poder ser reconstruídos,De otorgar a cada equipo que se conecta a internet un número de identificación único,De traducir os nomes das webs a un número (IP),De establecer a conexión co servidor para intercambiar información con el,internet e redes
"Cal é o protocolo que se encarga de ""trocear"" e ordear a información que envíamos?",,TCP,IP,DNS,CCCP,internet e redes
"Cal é o protocolo que se encarga de ""trocear"" e ordear a información que envíamos?",,TCP,ISP,IP,HTTP,internet e redes
Con que se corresponden as iniciais de HTML?,,Hypertext Markup Language,Host Texting Model Language,Hybrid Terminal Mask Link,Home Transfer Mixed Lever,internet e redes
Que é o HTTPS?,,A linguaxe na que falan clientes e servidores,A linguaxe que lle di a un navegador como se debe de amosar unha páxina,A linguaxe na que están programados os servidores,Un protocolo seguro para a transferencia de ficheiros entre clientes,internet e redes
Cales son os dispositivos que se encargan de redireccionar os paquetes de información por unha rede?,,Os routers,Os servidores,As IP,Os ISP,internet e redes
Cal é a conexión máis habitual por cable?,,Ethernet,Internet,Intranet,Arpanet,internet e redes
Cal é a conexión máis rápida?,,Fibra óptica,Cable,Wifi,4G,internet e redes
"Cal é falsa, nesta situación?",images/internet_tuit_DNS.png,Belén non está conectada a internet,Belén non pode entrar en Github,O servidor DNS da conexión de Belén pode non funcionar ben,Belén pensa que o servidor de Github pode estar a funcionar mal,internet e redes
De que son as iniciais de URL?,,Uniform Resource Location,Universal Resource Location,Uniform Resource Link,Uniform Router Location,internet e redes
Como se lles chama as URL informalmente?,,Enderezo web,Ligazón,Navegador,DNS,internet e redes
"Quero facer unha web que teña a URL ""tucho.gal"". Cal non é necesario?",,Comprar a licenza para un software de deseño web,Comprobar a dispoñibilidade do dominio,Rexistrar ese dominio,Contratar un aloxamento nun servidor,
"Contratei o internet con Pichifone, paréceme o ______ máis convinte.",,ISP,Servidor,Sistema Operativo,Protocolo,internet e redes
"Hoxe non podo entrar na aula virtual, o __________ debe de estar caído.",,Servidor,Cliente,HTML,URL,internet e redes
Cal é falsa?,,Os servidores non teñen que estar na rede,Un ordenador pode estar en rede pero non en internet,Internet é unha rede,Internet basease no funcionamento por clientes e servidores,internet e redes
Cal etiqueta se corresponde cun parágrafo en HTML?,,<p>,<h1>,<a>,<pr>,internet e redes
Cal etiqueta se corresponde cun título de primeiro nivel en HTML?,,<h1>,<t1>,<p1>,<head>,internet e redes
"<img _____ = ""images/foto.jpg"">",,src,scr,href,alt,internet e redes
Cal será a etiqueta dunha ligazón?,,<a>,<p>,<br>,<l>,internet e redes
"Como fago que a palabra ""buscador"" apareza na web como unha ligazón que me leva a google.com?",,"<a href=""google.com"">buscador</a>","<a href= google.com> ""buscador""</a>","<a><href=""google.com"">buscador</a>","<a href=""buscador"">google.com</a>",internet e redes
